"","Country.Name..Full.","Start.Valid.Year","End.Valid.Year","ISO3.digit.Alpha"
"171","Mexico",1962,"Now","MEX"
"172","Mongolia",1962,"Now","MNG"
"173","Montenegro",2006,"Now","MNE"
"174","Montserrat",1962,"Now","MSR"
"175","Morocco",1962,"Now","MAR"
"176","Mozambique",1962,"Now","MOZ"
"177","Myanmar",1962,"Now","MMR"
"178","Northern Mariana Islands",1992,"Now","MNP"
"179","Namibia",2000,"Now","NAM"
"180","Nauru",1962,"Now","NRU"
"181","Nepal",1962,"Now","NPL"
"182","Netherlands Antilles",1988,"2010","ANT"
"183","Netherlands Antilles and Aruba",1962,"1987","ANT"
"184","Netherlands",1962,"Now","NLD"
"185","Neutral Zone",1962,"Now","N/A"
"186","New Caledonia",1962,"Now","NCL"
"187","New Zealand",1962,"Now","NZL"
"188","Nicaragua",1962,"Now","NIC"
"189","Niger",1962,"Now","NER"
"190","Nigeria",1962,"Now","NGA"
"191","Niue",1962,"Now","NIU"
"192","Norfolk Islands",1962,"Now","NFK"
"193","North America, the Caribbean and Central America not elsewhere specified",1962,"Now","N/A"
"194","Northern Africa, not elsewhere specified",1962,"2004","N/A"
"195","Norway, Svalbard and Jan Mayen",1962,"Now","NOR"
"196","Oceania, not elsewhere specified",1962,"Now","N/A"
"197","Oman",1962,"Now","OMN"
"198","Other Africa, not elsewhere specified",1962,"Now","N/A"
"199","Other Asia, not elsewhere specified",1962,"Now","N/A"
"200","Other Europe, not elsewhere specified",1962,"Now","N/A"
"201","Pakistan",1972,"Now","PAK"
"202","Palau",1992,"Now","PLW"
"203","Panama",1978,"Now","PAN"
"204","Papua New Guinea",1962,"Now","PNG"
"205","Paraguay",1962,"Now","PRY"
"206","Peninsula Malaysia",1962,"1963","N/A"
"207","Peru",1962,"Now","PER"
"208","Philippines",1962,"Now","PHL"
"209","Pitcairn",1962,"Now","PCN"
"210","Poland",1962,"Now","POL"
"211","Portugal",1962,"Now","PRT"
"212","Qatar",1962,"Now","QAT"
"213","Republic of Korea",1962,"Now","KOR"
"214","Republic of Moldova",1992,"Now","MDA"
"215","Rest of America, not elsewhere specified",1962,"2004","N/A"
"216","R‚union",1962,"1995","REU"
"217","Romania",1962,"Now","ROU"
"218","Russian Federation",1992,"Now","RUS"
"219","Rwanda",1962,"Now","RWA"
"220","Ryukyu Island",1962,"1972","N/A"
"221","Sabah",1962,"1963","N/A"
"222","Saint Barth‚lemy",2013,"Now","BLM"
"223","Saint Helena",1962,"Now","SHN"
"224","Saint Kitts and Nevis",1981,"Now","KNA"
"225","Saint Kitts, Nevis and Anguilla",1962,"1980","KNA"
"226","Saint Lucia",1962,"Now","LCA"
"227","Saint Maarten (Dutch part)",2010,"Now","SXM"
"228","Saint Pierre and Miquelon",1962,"Now","SPM"
"229","Saint Vincent and the Grenadines",1962,"Now","VCT"
"230","Samoa",1962,"Now","WSM"
"231","San Marino",2000,"Now","SMR"
"232","Sao Tome and Principe",1962,"Now","STP"
"233","Sarawak",1962,"1963","N/A"
"234","Saudi Arabia",1962,"Now","SAU"
"235","Senegal",1962,"Now","SEN"
"236","Serbia",2006,"Now","SRB"
"237","Serbia and Montenegro",1992,"2005","SCG"
"238","Seychelles",1962,"Now","SYC"
"239","Sierra Leone",1962,"Now","SLE"
"240","Sikkim",1962,"1974","N/A"
"241","Singapore",1962,"Now","SGP"
"242","Slovakia",1993,"Now","SVK"
"243","Slovenia",1992,"Now","SVN"
"244","Southern African Customs Union",1962,"1999","ZAF"
"245","Solomon Islands",1962,"Now","SLB"
"246","Somalia",1962,"Now","SOM"
"247","South Africa",2000,"Now","ZAF"
"248","South Georgia and the South Sandwich Islands",1962,"Now","SGS"
"249","South Sudan",2012,"Now","SSD"
"250","Spain",1962,"Now","ESP"
"251","Special Categories",1962,"Now","N/A"
"252","Sri Lanka",1962,"Now","LKA"
"253","State of Palestine",2000,"Now","PSE"
"254","Sudan",2012,"Now","SDN"
"255","Suriname",1962,"Now","SUR"
"256","Swaziland",2000,"Now","SWZ"
"257","Sweden",1962,"Now","SWE"
"258","Switzerland, Liechtenstein",1962,"Now","CHE"
"259","Syria",1962,"Now","SYR"
"260","Tajikistan",1992,"Now","TJK"
"261","The Former Yugoslav Republic of Macedonia",1993,"Now","MKD"
"262","Thailand",1962,"Now","THA"
"263","Timor-Leste",1962,"Now","TLS"
"264","Togo",1962,"Now","TGO"
"265","Tokelau",1962,"Now","TKL"
"266","Tonga",1962,"Now","TON"
"267","Trinidad and Tobago",1962,"Now","TTO"
"268","Tunisia",1962,"Now","TUN"
"269","Turkey",1962,"Now","TUR"
"270","Turkmenistan",1992,"Now","TKM"
"271","Turks and Caicos Islands",1962,"Now","TCA"
"272","Tuvalu",1962,"Now","TUV"
"273","Uganda",1962,"Now","UGA"
"274","Ukraine",1992,"Now","UKR"
"275","United Arab Emirates",1962,"Now","ARE"
"276","United Kingdom",1962,"Now","GBR"
"277","United Republic of Tanzania",1965,"Now","TZA"
"278","United States Minor Outlying Islands",1962,"Now","UMI"
"279","Uruguay",1962,"Now","URY"
"280","US Miscellaneous Pacific Islands",1962,"1962","N/A"
"281","US Virgin Islands",1962,"1980","VIR"
"282","USA, Puerto Rico and US Virgin Islands",1981,"Now","USA"
"283","USA and Puerto Rico",1962,"1980","USA"
"284","Uzbekistan",1992,"Now","UZB"
"285","Vanuatu",1962,"Now","VUT"
"286","Venezuela",1962,"Now","VEN"
"287","Viet Nam",1975,"Now","VNM"
"288","Wallis and Futuna Islands",1962,"Now","WLF"
"289","Western Asia, not elsewhere specified",1962,"2004","N/A"
"290","Western Sahara",1962,"Now","ESH"
"291","World",1962,"Now","WLD"
"292","Yemen",1991,"Now","YEM"
"293","Zambia",1965,"Now","ZMB"
"294","Zimbabwe",1965,"Now","ZWE"
